date,time_ist,runner,status,market,prices_as_of,oi_as_of,list,ranked,chg,oi,long,short,elapsed_s,error
2026-09-17,22:25:27,github-ubuntu,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,10.6,
2026-09-17,22:32:14,github-ubuntu,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,15.8,
2026-09-17,22:36:07,github-ubuntu,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,13.8,
2026-09-18,14:00:54,github-ubuntu,ok,Open,18-Sep-2026 14:00:40,18-Sep-2026 13:59:28,210,40,23,7,SONACOMS SUPREMEIND BHARATFORG PIDILITIND,TCS TMPV KPITTECH,10.8,
2026-09-18,14:01:21,github-ubuntu,ok,Open,18-Sep-2026 14:00:51,18-Sep-2026 13:59:37,210,40,23,7,SONACOMS SUPREMEIND BHARATFORG PIDILITIND,TCS TMPV KPITTECH,13.1,
2026-09-21,14:48:47,github-ubuntu,ok,Open,21-Sep-2026 14:48:28,21-Sep-2026 14:48:26,210,40,38,8,PATANJALI MANKIND LICHSGFIN ICICIGI UNITDSPR,OFSS BSE PAYTM,6.7,
2026-09-21,14:49:28,github-ubuntu,ok,Open,21-Sep-2026 14:49:08,21-Sep-2026 14:49:12,210,40,40,7,PATANJALI MANKIND LICHSGFIN ICICIGI,OFSS BSE PAYTM,19.6,
2026-09-22,14:19:22,github-ubuntu,ok,Open,22-Sep-2026 14:19:36,22-Sep-2026 14:17:39,210,40,16,9,RBLBANK PAGEIND PIIND,KAYNES CONCOR LTM VOLTAS ATHERENERG DIXON,15.9,
2026-09-22,14:20:00,github-ubuntu,ok,Open,22-Sep-2026 14:19:36,22-Sep-2026 14:18:15,210,40,16,9,RBLBANK PAGEIND PIIND,KAYNES CONCOR LTM VOLTAS ATHERENERG DIXON,12.3,
2026-09-23,14:21:04,github-ubuntu,ok,Open,23-Sep-2026 14:21:27,23-Sep-2026 14:20:01,210,40,24,11,POLICYBZR BANDHANBNK MOTILALOFS 360ONE RADICO TATASTEEL IDFCFIRSTB PHOENIXLTD,ATHERENERG INOXWIND PERSISTENT,25.3,
2026-09-23,14:21:46,github-ubuntu,ok,Open,23-Sep-2026 14:21:56,23-Sep-2026 14:20:34,210,40,24,11,POLICYBZR BANDHANBNK MOTILALOFS 360ONE RADICO TATASTEEL IDFCFIRSTB PHOENIXLTD,ATHERENERG INOXWIND PERSISTENT,11.9,
2026-09-24,14:16:15,github-ubuntu,ok,Open,24-Sep-2026 14:15:55,24-Sep-2026 14:14:45,210,40,22,17,ICICIGI,POLICYBZR MFSL LTF NAUKRI BAJFINANCE CHOLAFIN HDFCLIFE AXISBANK AUBANK IDFCFIRSTB BAJAJFINSV INDUSINDBK ICICIPRULI BANDHANBNK PNBHOUSING BAJAJHLDNG,4.0,
2026-09-24,14:16:56,github-ubuntu,ok,Open,24-Sep-2026 14:17:05,24-Sep-2026 14:15:38,210,40,22,18,ICICIGI,POLICYBZR MFSL LTF NAUKRI BAJFINANCE CHOLAFIN HDFCLIFE AXISBANK IDFCFIRSTB AUBANK BAJAJFINSV INDUSINDBK ICICIPRULI BANDHANBNK PNBHOUSING BAJAJHLDNG PIDILITIND,13.3,
2026-09-25,14:36:47,github-ubuntu,ok,Open,25-Sep-2026 14:37:01,25-Sep-2026 14:35:50,210,40,17,13,MFSL AXISBANK INOXWIND MAHABANK HYUNDAI NAUKRI JUBLFOOD MOTHERSON,FORTIS PAYTM POLICYBZR MAXHEALTH MCX,15.6,
2026-09-25,14:37:24,github-ubuntu,ok,Open,25-Sep-2026 14:37:52,25-Sep-2026 14:36:20,210,40,18,14,MFSL AXISBANK INOXWIND MAHABANK HYUNDAI NAUKRI JUBLFOOD MOTHERSON M&M,FORTIS POLICYBZR PAYTM MAXHEALTH MCX,38.4,
